Purchase date,Holiday,Sales channel,Payment method,Product category,Product type,Product identifier,Base price,Discount,Clearance,Promotion
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj05,103.24,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Mens jeans,mj05,31.59,0,False,False
2019-10-01,non-holiday,In-store,Credit,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,In-store,Credit,Shoes,Mens dress shoes,mds01,110.75,0,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Mens top,mt04,32.12,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj04,41.3,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Mens top,mt02,44.03,0,False,False
2019-10-01,non-holiday,Online,Debit,Shoes,Mens casual shoes,mcs02,52.89,75,True,False
2019-10-01,non-holiday,Online,Credit,Shoes,Mens casual shoes,mcs02,52.89,40,False,False
2019-10-01,non-holiday,In-store,Credit,Accessories,Belt,b03,14.14,0,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens top,wt01,35.11,15,False,False
2019-10-01,non-holiday,Online,Credit,Shoes,Mens casual shoes,mcs01,67.39,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj04,41.3,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj04,41.3,0,False,False
2019-10-01,non-holiday,In-store,Debit,Shoes,Womens casual shoes,wcs10,44.55,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Mens jeans,mj01,35.14,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj02,52.23,0,False,False
2019-10-01,non-holiday,In-store,Credit,Shoes,Mens dress shoes,mds02,67.21,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Mens top,mt04,32.12,0,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Womens jeans,wj04,41.3,50,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj03,75.85,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens top,wt01,35.11,20,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Mens top,mt02,44.03,0,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Womens top,wt01,35.11,10,False,True
2019-10-01,non-holiday,Online,Credit,Accessories,Belt,b03,14.14,10,False,False
2019-10-01,non-holiday,In-store,Cash,Clothing,Mens top,mt04,32.12,50,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,In-store,Debit,Clothing,Womens top,wt01,35.11,0,False,False
2019-10-01,non-holiday,Online,Credit,Clothing,Womens jeans,wj12,51.99,0,False,False
2019-10-01,non-holiday,Online,PPal,Shoes,Womens casual shoes,wcs02,62.88,0,False,False
